F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15, F16, F17, F18, F19, F20, F21, F22, F23, F24, F25, F26, Class
25, 0, 4, 5, 16, 9, 21, 8, 2, 0, 6, 31, 3, 3, 0, 18, 3, 24, 8, 10, 0, 13, 3, 0, 7, 0, DNA
47, 0, 26, 44, 50, 40, 53, 19, 19, 0, 50, 86, 15, 30, 0, 52, 39, 38, 67, 37, 0, 36, 10, 0, 24, 0, DNA
21, 0, 2, 18, 22, 16, 17, 5, 23, 0, 32, 47, 7, 21, 0, 52, 17, 9, 60, 29, 0, 21, 4, 0, 8, 0, DNA
29, 0, 13, 21, 28, 17, 32, 15, 20, 0, 26, 48, 17, 18, 0, 35, 14, 25, 45, 24, 0, 24, 2, 0, 9, 0, DNA
48, 0, 20, 58, 59, 51, 31, 21, 64, 0, 62, 89, 14, 49, 0, 47, 43, 45, 97, 48, 0, 46, 4, 0, 28, 0, DNA
25, 0, 7, 33, 31, 21, 23, 13, 26, 0, 35, 50, 13, 38, 0, 14, 24, 35, 47, 21, 0, 22, 12, 0, 14, 0, DNA
66, 0, 6, 38, 59, 22, 51, 18, 31, 0, 24, 78, 24, 31, 0, 20, 47, 60, 35, 33, 0, 41, 13, 0, 23, 0, DNA
19, 0, 11, 13, 23, 9, 14, 19, 13, 0, 26, 25, 11, 17, 0, 18, 23, 14, 32, 28, 0, 30, 8, 0, 15, 0, DNA
5, 0, 2, 6, 14, 1, 3, 0, 11, 0, 9, 19, 2, 10, 0, 1, 9, 9, 9, 4, 0, 10, 1, 0, 5, 0, DNA
17, 0, 6, 29, 33, 24, 26, 8, 42, 0, 31, 41, 11, 21, 0, 14, 13, 19, 23, 27, 0, 27, 3, 0, 18, 0, DNA
14, 0, 11, 36, 26, 23, 37, 30, 24, 0, 47, 62, 37, 219, 0, 19, 36, 22, 105, 20, 0, 20, 5, 0, 20, 0, DNA
8, 0, 4, 9, 18, 9, 9, 3, 18, 0, 13, 18, 7, 10, 0, 10, 11, 19, 19, 10, 0, 10, 2, 0, 7, 0, DNA
35, 0, 5, 16, 30, 7, 29, 9, 21, 0, 23, 25, 18, 18, 0, 22, 28, 21, 32, 13, 0, 9, 1, 0, 14, 0, DNA
14, 0, 3, 5, 20, 5, 3, 2, 6, 0, 14, 10, 3, 6, 0, 1, 10, 9, 10, 8, 0, 6, 0, 0, 3, 0, DNA
24, 0, 10, 20, 30, 11, 23, 12, 8, 0, 20, 32, 12, 14, 0, 45, 15, 26, 38, 22, 0, 18, 4, 0, 9, 0, DNA
23, 0, 12, 17, 32, 13, 24, 11, 9, 0, 24, 35, 10, 8, 0, 38, 14, 24, 35, 23, 0, 20, 3, 0, 12, 0, DNA
7, 0, 0, 7, 12, 5, 6, 3, 7, 0, 10, 17, 6, 7, 0, 1, 13, 7, 9, 12, 0, 4, 0, 0, 6, 0, DNA
8, 0, 0, 7, 6, 4, 6, 2, 0, 0, 6, 14, 2, 0, 0, 1, 5, 5, 3, 1, 0, 11, 0, 0, 0, 0, DNA
41, 0, 27, 40, 78, 17, 39, 33, 22, 0, 65, 35, 23, 24, 0, 50, 40, 45, 34, 47, 0, 48, 1, 0, 18, 0, DNA
40, 0, 33, 46, 58, 15, 34, 19, 22, 0, 46, 44, 13, 14, 0, 51, 40, 71, 42, 22, 0, 23, 7, 0, 16, 0, DNA
96, 0, 1, 35, 90, 31, 62, 11, 14, 0, 25, 134, 14, 7, 0, 48, 22, 82, 22, 35, 0, 52, 2, 0, 28, 0, DNA
51, 0, 14, 41, 70, 34, 31, 15, 53, 0, 54, 78, 23, 60, 0, 39, 33, 44, 95, 60, 0, 54, 11, 0, 26, 0, DNA
37, 0, 5, 17, 30, 18, 28, 12, 24, 0, 26, 29, 10, 13, 0, 30, 25, 20, 45, 20, 0, 21, 6, 0, 18, 0, DNA
16, 0, 0, 3, 9, 2, 5, 3, 6, 0, 8, 14, 5, 3, 0, 4, 5, 5, 16, 3, 0, 8, 0, 0, 3, 0, DNA
18, 0, 9, 8, 16, 5, 6, 9, 5, 0, 9, 19, 5, 3, 0, 7, 11, 10, 6, 9, 0, 13, 0, 0, 3, 0, DNA
22, 0, 12, 28, 26, 17, 24, 13, 12, 0, 23, 36, 9, 23, 0, 42, 24, 22, 42, 17, 0, 16, 10, 0, 18, 0, DNA
23, 0, 12, 17, 38, 13, 20, 7, 19, 0, 18, 39, 11, 18, 0, 16, 9, 21, 28, 20, 0, 18, 5, 0, 10, 0, DNA
37, 0, 9, 25, 19, 8, 22, 8, 7, 0, 9, 27, 5, 9, 0, 37, 9, 25, 31, 13, 0, 8, 1, 0, 9, 0, DNA
21, 0, 3, 19, 49, 23, 19, 7, 32, 0, 53, 43, 5, 17, 0, 4, 9, 25, 16, 13, 0, 26, 1, 0, 14, 0, DNA
11, 0, 0, 5, 7, 1, 4, 1, 10, 0, 7, 5, 2, 0, 0, 2, 0, 8, 2, 2, 0, 2, 0, 0, 0, 0, DNA
20, 0, 1, 10, 24, 11, 16, 9, 25, 0, 15, 37, 8, 12, 0, 18, 14, 18, 19, 15, 0, 18, 1, 0, 13, 0, DNA
5, 0, 1, 7, 14, 2, 7, 3, 5, 0, 15, 30, 6, 4, 0, 4, 9, 5, 9, 11, 0, 3, 1, 0, 6, 0, DNA
31, 0, 6, 22, 23, 8, 9, 10, 28, 0, 26, 28, 8, 23, 0, 22, 30, 24, 38, 17, 0, 17, 2, 0, 4, 0, DNA
33, 0, 7, 9, 14, 8, 26, 5, 6, 0, 16, 19, 4, 8, 0, 33, 13, 16, 22, 14, 0, 12, 4, 0, 15, 0, DNA
64, 0, 23, 55, 82, 33, 56, 26, 53, 0, 58, 142, 23, 38, 0, 51, 39, 73, 93, 48, 0, 71, 10, 0, 24, 0, DNA
74, 0, 20, 55, 86, 36, 66, 47, 45, 0, 107, 111, 19, 46, 0, 97, 58, 54, 130, 48, 0, 49, 6, 0, 34, 0, DNA
31, 0, 7, 20, 27, 21, 26, 13, 24, 0, 28, 27, 13, 17, 0, 28, 23, 22, 36, 19, 0, 25, 5, 0, 14, 0, DNA
34, 0, 1, 14, 11, 6, 21, 14, 11, 0, 9, 16, 9, 5, 0, 19, 31, 11, 12, 17, 0, 10, 3, 0, 11, 0, DNA
8, 0, 0, 3, 3, 3, 4, 1, 5, 0, 8, 3, 2, 3, 0, 2, 3, 3, 3, 6, 0, 3, 0, 0, 3, 0, DNA
23, 0, 18, 23, 39, 19, 36, 14, 25, 0, 22, 52, 16, 18, 0, 32, 25, 30, 45, 17, 0, 17, 4, 0, 20, 0, DNA
49, 0, 4, 15, 21, 10, 42, 14, 8, 0, 15, 27, 6, 9, 0, 54, 16, 21, 19, 9, 0, 11, 0, 0, 8, 0, DNA
79, 0, 12, 47, 63, 22, 93, 29, 22, 0, 38, 105, 17, 19, 0, 70, 43, 52, 66, 47, 0, 50, 2, 0, 24, 0, DNA
1, 0, 0, 4, 8, 4, 3, 1, 8, 0, 9, 11, 4, 3, 0, 0, 1, 4, 8, 3, 0, 5, 0, 0, 2, 0, DNA
68, 0, 8, 34, 65, 26, 51, 16, 31, 0, 32, 68, 10, 20, 0, 30, 21, 46, 30, 35, 0, 67, 4, 0, 9, 0, DNA
24, 0, 2, 13, 25, 19, 14, 5, 21, 0, 45, 30, 10, 16, 0, 12, 19, 15, 17, 24, 0, 27, 0, 0, 5, 0, DNA
29, 0, 11, 47, 44, 18, 32, 16, 56, 0, 39, 53, 11, 36, 0, 40, 34, 22, 75, 48, 0, 38, 2, 0, 21, 0, DNA
7, 0, 2, 7, 11, 0, 7, 3, 16, 0, 9, 20, 1, 4, 0, 5, 10, 11, 10, 10, 0, 7, 2, 0, 1, 0, DNA
13, 0, 1, 12, 16, 7, 15, 2, 27, 0, 16, 16, 4, 8, 0, 5, 9, 15, 12, 16, 0, 14, 0, 0, 12, 0, DNA
47, 0, 27, 34, 55, 34, 65, 20, 42, 0, 52, 73, 25, 52, 0, 75, 48, 37, 149, 49, 0, 63, 6, 0, 31, 0, DNA
62, 0, 2, 10, 22, 9, 33, 3, 6, 0, 18, 38, 4, 6, 0, 41, 15, 14, 29, 16, 0, 14, 0, 0, 5, 0, DNA
26, 0, 12, 13, 12, 10, 36, 31, 7, 0, 21, 35, 12, 17, 0, 48, 12, 22, 61, 32, 0, 17, 5, 0, 14, 0, DNA
4, 0, 3, 7, 11, 4, 19, 9, 13, 0, 22, 11, 2, 10, 0, 4, 8, 7, 8, 10, 0, 12, 2, 0, 8, 0, DNA
14, 0, 2, 22, 14, 9, 9, 7, 22, 0, 20, 25, 9, 17, 0, 7, 11, 12, 10, 10, 0, 20, 1, 0, 6, 0, DNA
5, 0, 0, 6, 4, 2, 5, 0, 1, 0, 7, 12, 6, 8, 0, 2, 10, 6, 4, 6, 0, 10, 0, 0, 4, 0, DNA
43, 0, 11, 18, 27, 26, 43, 15, 30, 0, 24, 37, 19, 40, 0, 41, 28, 31, 60, 37, 0, 43, 3, 0, 15, 0, DNA
27, 0, 2, 26, 46, 26, 49, 12, 54, 0, 57, 53, 11, 32, 0, 17, 18, 27, 33, 30, 0, 34, 8, 0, 21, 0, DNA
65, 0, 31, 39, 63, 24, 117, 40, 17, 0, 33, 89, 21, 35, 0, 149, 48, 66, 128, 58, 0, 44, 5, 0, 34, 0, DNA
5, 0, 9, 8, 2, 10, 3, 4, 5, 0, 17, 14, 3, 6, 0, 7, 4, 5, 5, 10, 0, 8, 1, 0, 2, 0, DNA
52, 0, 7, 10, 17, 10, 20, 1, 5, 0, 15, 28, 2, 11, 0, 41, 17, 25, 21, 10, 0, 15, 2, 0, 15, 0, DNA
96, 0, 20, 63, 107, 35, 108, 27, 100, 0, 122, 110, 29, 58, 0, 77, 95, 69, 59, 88, 0, 96, 37, 0, 39, 0, DNA
18, 0, 8, 29, 33, 25, 23, 16, 36, 0, 36, 60, 8, 27, 0, 27, 36, 26, 50, 35, 0, 31, 12, 0, 19, 0, DNA
27, 0, 10, 36, 35, 27, 21, 14, 35, 0, 39, 52, 17, 16, 0, 25, 24, 19, 39, 26, 0, 24, 1, 0, 18, 0, DNA
25, 0, 6, 38, 41, 21, 26, 13, 28, 0, 20, 39, 12, 29, 0, 32, 55, 46, 87, 49, 0, 29, 4, 0, 23, 0, DNA
18, 0, 2, 10, 23, 13, 18, 6, 16, 0, 20, 29, 5, 11, 0, 9, 3, 15, 13, 5, 0, 18, 0, 0, 4, 0, DNA
48, 0, 20, 56, 53, 32, 45, 16, 43, 0, 74, 72, 10, 42, 0, 47, 35, 45, 98, 41, 0, 45, 5, 0, 19, 0, DNA
19, 0, 3, 20, 36, 9, 11, 3, 4, 0, 43, 4, 6, 4, 0, 13, 2, 8, 11, 5, 0, 5, 2, 0, 7, 0, DNA
6, 0, 0, 2, 9, 1, 5, 1, 10, 0, 12, 9, 1, 2, 0, 2, 6, 3, 3, 6, 0, 8, 1, 0, 6, 0, DNA
14, 0, 1, 12, 14, 7, 12, 6, 11, 0, 20, 26, 7, 8, 0, 2, 12, 8, 4, 8, 0, 15, 1, 0, 7, 0, DNA
17, 0, 3, 13, 14, 11, 10, 4, 17, 0, 21, 18, 4, 16, 0, 22, 5, 17, 19, 15, 0, 12, 8, 0, 3, 0, DNA
10, 0, 1, 12, 17, 11, 16, 5, 11, 0, 17, 19, 2, 12, 0, 9, 7, 9, 8, 9, 0, 12, 6, 0, 9, 0, DNA
44, 0, 31, 29, 48, 8, 66, 15, 6, 0, 32, 89, 12, 11, 0, 87, 17, 76, 58, 24, 0, 28, 12, 0, 1, 0, DNA
31, 0, 8, 12, 18, 10, 39, 3, 9, 0, 12, 36, 4, 6, 0, 62, 12, 31, 34, 19, 0, 8, 3, 0, 8, 0, DNA
25, 0, 3, 22, 22, 10, 34, 8, 17, 0, 21, 40, 19, 29, 0, 58, 35, 24, 67, 34, 0, 26, 2, 0, 11, 0, DNA
33, 0, 4, 21, 25, 7, 23, 10, 29, 0, 25, 32, 8, 9, 0, 11, 8, 34, 28, 21, 0, 10, 4, 0, 14, 0, DNA
26, 0, 1, 18, 20, 5, 12, 13, 11, 0, 20, 22, 5, 19, 0, 23, 10, 18, 40, 22, 0, 21, 2, 0, 4, 0, DNA
26, 0, 5, 16, 26, 8, 21, 9, 15, 0, 19, 34, 8, 5, 0, 27, 16, 17, 37, 10, 0, 15, 11, 0, 10, 0, DNA
30, 0, 7, 11, 14, 7, 21, 8, 9, 0, 9, 45, 3, 7, 0, 33, 16, 18, 29, 26, 0, 12, 3, 0, 6, 0, DNA
25, 0, 14, 31, 50, 24, 31, 12, 22, 0, 61, 50, 8, 25, 0, 27, 17, 35, 61, 34, 0, 30, 10, 0, 13, 0, DNA
52, 0, 7, 22, 20, 20, 30, 11, 6, 0, 22, 24, 12, 14, 0, 44, 11, 23, 22, 20, 0, 23, 4, 0, 11, 0, DNA
51, 0, 3, 12, 10, 6, 23, 16, 6, 0, 14, 24, 17, 9, 0, 56, 14, 18, 38, 23, 0, 17, 2, 0, 17, 0, DNA
22, 0, 13, 3, 10, 7, 16, 6, 7, 0, 14, 14, 5, 10, 0, 16, 5, 12, 21, 8, 0, 8, 1, 0, 0, 0, DNA
15, 0, 3, 11, 14, 13, 15, 9, 13, 0, 11, 12, 2, 10, 0, 10, 4, 16, 18, 10, 0, 12, 4, 0, 12, 0, DNA
15, 0, 0, 11, 20, 13, 6, 10, 26, 0, 21, 24, 5, 10, 0, 12, 16, 8, 9, 8, 0, 8, 8, 0, 7, 0, DNA
21, 0, 1, 16, 24, 11, 11, 8, 10, 0, 12, 28, 4, 6, 0, 13, 13, 22, 19, 15, 0, 19, 3, 0, 13, 0, DNA
24, 0, 1, 7, 19, 8, 16, 3, 12, 0, 12, 23, 6, 4, 0, 11, 8, 11, 8, 9, 0, 17, 0, 0, 4, 0, DNA
17, 0, 1, 9, 9, 5, 19, 5, 11, 0, 4, 18, 2, 5, 0, 10, 5, 11, 7, 12, 0, 7, 2, 0, 6, 0, DNA
50, 0, 4, 40, 86, 29, 49, 11, 64, 0, 81, 64, 10, 17, 0, 38, 14, 50, 28, 26, 0, 55, 10, 0, 45, 0, DNA
54, 0, 5, 47, 78, 32, 53, 12, 53, 0, 77, 63, 10, 15, 0, 35, 13, 58, 22, 34, 0, 59, 10, 0, 45, 0, DNA
44, 0, 4, 38, 88, 27, 50, 14, 71, 0, 82, 67, 10, 19, 0, 36, 15, 45, 25, 31, 0, 52, 11, 0, 46, 0, DNA
